student_id,age,gender,school_type,family_income,urban_rural,previous_exam_score,previous_gpa,attendance_percentage,assignment_completion_rate,class_participation,study_hours_per_day,self_study_hours,private_tuition,online_learning_hours,study_consistency,practice_tests_completed,sleep_hours,daily_screen_time,physical_activity_hours,stress_level,internet_access,online_course_hours,exam_difficulty,exam_preparation_days,questions_attempted,questions_correct,time_management_score,exam_anxiety_level,exam_score,performance_grade,pass_status,performance_level
STU_000011,20,Male,Private,Middle,Suburban,71.7,2.86,84.73,64.63,High,1.47,1.04,1,3.47,Low,4,9.1,2.63,3.8,6,1,0.64,Medium,2,93,68,,4.59,76.22,B,Pass,Medium
STU_000012,16,Male,Public,Upper-Middle,Urban,94.04,3.85,96.87,65.89,Medium,2.85,2.02,0,0.4,Low,3,6.77,6.03,0.17,10,1,2.73,Medium,3,94,74,89.89,10,77.19,B,Pass,Medium
STU_000013,16,Female,Public,Middle,Urban,77.31,3.14,82.01,61.22,Low,3.64,3.15,1,4.03,High,5,7.51,4.54,6.04,10,1,2.41,Easy,11,98,62,63.69,9.32,60.24,D,Pass,Medium
STU_000014,18,Female,Private,Lower-Middle,Suburban,67.88,2.64,97.33,90.35,Medium,5.86,3.75,0,2.19,Medium,7,8.65,4.4,1.9,7,1,3.55,Hard,24,94,58,100,7.1,61.67,D,Pass,Medium
STU_000015,17,Male,Public,Middle,Suburban,71.9,2.7,95.33,69.98,High,3.19,2.79,0,0.57,Low,9,7.16,3.6,4.85,10,1,1.09,Medium,26,94,72,76.86,10,75.29,B,Pass,Medium
STU_000016,16,Male,Public,Middle,Rural,41.12,1.83,99.8,86.47,High,0.5,0.3,0,0.58,High,5,7.22,6.78,1.42,9,1,0.53,Hard,14,93,36,96.84,8.47,38.77,F,Fail,Low
STU_000017,19,Male,Public,Middle,Rural,75.61,3.12,83.92,59.84,Medium,3.62,2.37,1,1.27,Low,3,8.81,1.75,3.6,10,1,2.57,Medium,17,87,77,91.31,10,86.36,A,Pass,High
STU_000018,18,Male,Public,Middle,Suburban,73.86,,87.8,83.33,Medium,2.65,2.34,0,1.14,High,3,5.84,5.59,1.37,10,1,1.19,Hard,11,92,52,,8.43,55.88,D,Pass,Low
STU_000019,15,Female,Public,Low,Suburban,52.9,2.03,,57.6,Medium,0.87,0.67,0,0.16,Medium,4,6.19,5.54,4.66,10,1,1.16,Hard,3,100,30,,9.85,32.5,F,Fail,Low
STU_000020,17,Female,Private,Lower-Middle,Urban,87.54,3.52,78.31,83.69,Medium,2.16,1.3,1,5.54,Medium,0,6.61,7.06,2.18,10,0,3.35,Medium,28,93,64,81.07,10,70.56,C,Pass,Medium
STU_000021,19,Female,Public,Low,Suburban,75.66,2.88,75.56,68.79,Medium,2.27,1.9,0,4.15,Medium,5,9.28,6.28,6.6,10,1,1.42,Medium,28,95,64,98.01,9.8,68.1,C,Pass,Medium
STU_000022,19,Other,Private,Lower-Middle,Suburban,59.1,2.66,79.9,72.14,High,4.81,3.33,1,0.5,Medium,8,7.17,8.02,2.52,10,0,4.28,Hard,24,85,53,60.8,7.74,59.96,D,Pass,Low
STU_000023,15,Male,Public,Low,Suburban,63.72,2.42,80.78,63.28,Medium,1.46,1.25,0,1.96,High,5,7.37,3.86,2.48,9,1,3.1,Medium,1,90,18,78.7,8.43,19.76,F,Fail,Low
STU_000024,17,Male,Public,Upper-Middle,Rural,74.88,2.8,90.19,77.12,High,4.11,3.15,1,1.54,Medium,11,6.52,8.49,1.1,7,1,1.22,Medium,1,87,62,100,9.02,72.44,C,Pass,Medium
STU_000025,18,Male,Private,Upper-Middle,Suburban,86.91,3.58,,64.81,Medium,0.75,0.65,0,0.08,Medium,4,7.12,4.03,1.57,10,1,1.5,Hard,24,97,68,100,8.78,72.34,C,Pass,Medium
STU_000026,14,Female,Public,Upper-Middle,Suburban,100,4,91.06,75.74,Low,3.88,1.99,0,2.97,High,13,5.71,6,3.33,10,1,1.27,Hard,25,91,59,64.33,10,66.4,C,Pass,Medium
STU_000027,17,Female,Private,High,Urban,88.96,3.66,91,55.44,Medium,0.5,0.35,0,0.29,High,4,5.72,7.75,3.92,9,1,0.26,Medium,14,89,59,57.36,8.72,66.34,C,Pass,Medium
STU_000028,15,Male,Private,Middle,Suburban,72.24,2.99,78.67,60.58,Medium,1.15,0.68,1,0.58,Medium,3,7.48,6.33,1.46,10,1,1.2,Hard,23,91,44,66.75,10,47.83,F,Fail,Low
STU_000029,19,Female,Charter,Low,Urban,74.52,3.34,84.36,56.74,Medium,2.83,2.36,0,0.38,Low,5,7.88,4.23,0.5,8,1,5.87,Medium,2,92,69,90.01,4.11,73.88,C,Pass,Medium
STU_000030,18,Female,Charter,Low,Suburban,58.62,2.08,83.17,72.11,Medium,5.57,4.84,0,0.08,Low,7,5.49,3.13,0.32,10,1,1.1,Hard,17,96,58,89.45,10,58.27,D,Pass,Low
STU_000031,17,Male,Public,Low,Rural,66.2,2.89,91.57,56.36,Medium,5.35,3.61,0,3.91,Medium,6,8.63,3.2,0.26,10,1,0.36,Hard,25,89,60,72.54,10,65.74,C,Pass,Medium
STU_000032,14,Male,Private,Middle,Urban,65.48,2.74,100,59.9,High,2.85,1.8,0,0.07,High,7,8.57,4.79,6.03,7,1,1.45,Medium,15,87,69,73.2,5.03,81.66,B,Pass,High
STU_000033,14,Male,Private,Low,Suburban,63.05,2.88,81.4,74.87,Medium,4.59,3.32,1,1.42,Medium,11,6.96,7.09,5.37,9,1,1.7,Medium,4,88,77,87.4,8.78,84.17,B,Pass,High
STU_000034,16,Female,Public,Middle,Suburban,84.86,3.5,73.86,51.95,Medium,1.01,0.62,0,3.59,Medium,2,6.81,4.31,0.98,10,1,3.54,Easy,12,98,49,66.81,10,49.29,F,Fail,Low
STU_000035,16,Male,Public,High,Urban,72.41,3.15,,72.2,High,4.08,2.11,0,7.64,High,4,8.49,6.47,1.36,10,1,0.93,Easy,23,97,91,100,6.18,92.31,A,Pass,High
STU_000036,20,Female,Charter,Low,Urban,81.06,3.3,78.98,64.3,Low,3.6,3.02,1,0.22,High,6,7.17,4.62,0.99,10,1,0.52,Hard,1,90,47,84.02,9.14,51.14,D,Pass,Low
STU_000037,15,Female,Public,Low,Suburban,59.45,2.25,,75.7,High,1.26,0.74,0,2.79,Low,4,8.07,4.26,1.91,7,1,1.24,Hard,9,87,53,70.4,7.34,60.83,D,Pass,Medium
STU_000038,17,Male,Public,Middle,Urban,49.26,2.01,89.99,65.93,High,1.53,0.92,0,2.5,Medium,1,7.96,5.39,1.17,7,1,0.1,Medium,25,85,42,91.74,7.76,53.66,D,Pass,Low
STU_000039,17,Female,Public,Lower-Middle,Suburban,91.29,3.74,80.01,80.59,High,4.38,2.26,0,0.23,Medium,7,6.8,5.5,2.05,7,1,1.51,Easy,10,87,82,64.28,8.04,96.07,A,Pass,High
STU_000040,20,Male,Public,High,Urban,59.7,2.19,89.02,74.8,Medium,4.24,3,0,1.84,Medium,4,9.27,4.63,4.29,10,1,1.47,Medium,18,90,61,89.62,9.4,67.43,C,Pass,Medium
STU_000041,19,Male,Public,High,Suburban,66.92,2.83,98.57,90.66,High,5.19,4.09,0,0.6,Medium,10,7.28,3.68,4.78,10,1,1.29,Easy,17,96,66,77.6,10,68.46,C,Pass,Medium
STU_000042,19,Female,Public,Low,Rural,47.21,1.8,78.52,62.9,High,2.59,1.44,0,3.48,Low,6,7.76,6.22,1.65,10,1,2,Medium,17,91,39,45.89,9.53,40.38,F,Fail,Low
STU_000043,20,Male,Public,Upper-Middle,Suburban,64.26,2.59,87.47,71.43,Medium,1.57,1.23,0,1.51,Low,6,5.95,4.94,1.39,10,1,5.66,Easy,13,96,59,59.72,8.08,64.78,D,Pass,Medium
STU_000044,19,Male,Public,Middle,Suburban,77.14,3,80.03,66.97,Medium,2.41,2.16,0,0.37,Medium,8,5.24,4.51,0.81,10,1,0.11,Medium,13,94,56,,10,58.63,D,Pass,Low
STU_000045,16,Male,Public,Lower-Middle,Rural,71.13,2.66,,77.43,High,1.75,0.98,1,1.55,Low,7,6.53,4.06,1.89,7,1,1.39,Hard,21,85,55,97.17,7.16,64.03,D,Pass,Medium
STU_000046,17,Female,Public,Upper-Middle,Suburban,56.78,2.28,75.65,75.4,Low,1.64,1.39,0,7.26,Medium,4,6.43,6.89,3.35,10,1,1.37,Hard,2,99,39,74.87,7.61,42.53,F,Fail,Low
STU_000047,20,Female,Public,Middle,Rural,81.12,3.34,85.17,73.7,Medium,4.52,3.29,0,1.48,Medium,6,6.76,4.17,2.37,10,0,8.29,Hard,3,91,64,73.6,9.5,70.64,C,Pass,Medium
STU_000048,17,Male,Public,Lower-Middle,Urban,52.34,,100,72.49,Medium,3.27,2.54,1,1.72,Medium,5,7.26,3.46,0.89,10,1,1.77,Easy,24,89,59,70.51,9.35,65.12,C,Pass,Medium
STU_000049,14,Male,Public,Lower-Middle,Urban,45.81,1.68,85.07,59.23,Medium,2.74,2.43,0,5.9,Medium,4,6.34,3.89,1.29,10,1,0.76,Medium,6,94,43,56.8,8.6,44.75,F,Fail,Low
STU_000050,16,Female,Charter,Middle,Urban,61.53,2.61,88.29,83.38,High,2.33,1.66,0,3.03,Medium,3,7.68,5.18,2.67,10,1,2.65,Medium,15,92,46,58.91,10,51.44,D,Pass,Low
STU_000051,18,Female,Public,Middle,Urban,72.09,3,93.12,83.15,Medium,4.32,3.35,1,0.85,Medium,4,7.71,6.8,1.07,10,1,0.01,Hard,30,98,62,67.57,10,62.21,D,Pass,Medium
STU_000052,16,Male,Public,Low,Urban,63.66,2.59,96.47,71.73,High,3.41,1.88,1,0.06,Medium,5,6.33,2.31,1.52,8,1,1.04,Medium,3,98,61,74.15,8.98,61.24,D,Pass,Medium
STU_000053,20,Male,Charter,Middle,Suburban,71.46,,76.34,54.79,Low,1.72,1.52,1,0.37,Medium,5,9.56,3.26,0.33,6,1,2.33,Easy,21,90,89,81.9,7.27,98.97,A,Pass,High
STU_000054,18,Male,Public,Middle,Suburban,71.34,2.83,94.64,91.67,Low,3.42,2.75,0,3.03,High,7,5.57,4.26,0.12,10,0,0.97,Easy,1,97,41,58.66,10,44.19,F,Fail,Low
STU_000055,14,Female,Public,Upper-Middle,Rural,63.81,2.4,84.74,65.18,Medium,1.86,1.07,0,1.58,High,5,6.91,5.95,1.37,9,1,3.78,Medium,6,88,31,64.92,8.18,36.88,F,Fail,Low
STU_000056,20,Male,Public,Lower-Middle,Urban,71.95,2.57,88.45,79.91,High,4.63,2.97,0,2.37,Medium,8,7.21,4.33,3.86,10,1,2.28,Easy,21,93,82,100,9.15,89.57,A,Pass,High
STU_000057,15,Female,Private,Upper-Middle,Suburban,70.76,2.74,,70.37,Medium,1.06,0.93,0,2.83,High,2,6.53,4.17,0.37,10,1,1.57,Hard,27,97,63,65.53,9.47,65.28,C,Pass,Medium
STU_000058,17,Male,Public,Upper-Middle,Urban,78.23,2.98,82.18,58.06,Medium,1.35,1.18,0,4.46,High,7,7.51,4.63,8.46,10,1,2.34,Easy,17,91,68,69.56,10,76.9,B,Pass,Medium
STU_000059,14,Male,Private,Lower-Middle,Rural,67.59,2.96,86.1,77.85,Low,5.51,4,1,0.4,High,8,8.66,3.69,1.55,6,1,3.07,Medium,3,95,66,100,9.23,72.53,C,Pass,Medium
STU_000060,17,Male,Public,Middle,Rural,59.31,2.49,76.21,80.57,Low,6.95,5.76,0,1.1,Low,11,9.71,3.36,7.98,10,1,0.07,Medium,18,97,78,86.38,8.67,79.86,B,Pass,Medium
STU_000061,19,Male,Private,Middle,Rural,65.58,2.64,83.83,70.64,Low,2.87,1.75,1,1.86,Medium,5,6.48,5.75,5.14,10,1,2.85,Easy,19,98,41,67.01,9.43,44.92,F,Fail,Low
STU_000062,15,Male,Private,Middle,Rural,66.7,2.85,81.14,52.94,Low,3.98,3.12,0,4.84,Medium,7,7.59,3.49,0.38,10,1,4.68,Hard,6,97,53,80.81,10,53.38,D,Pass,Low
STU_000063,15,Male,Public,Lower-Middle,Rural,70.23,2.71,89.09,58.91,High,1.82,0.99,0,5.52,Low,8,6.54,5.39,1.17,10,1,1.48,Medium,4,87,45,78.55,10,52.55,D,Pass,Low
STU_000064,14,Female,Public,Lower-Middle,Urban,58.77,2.08,,87.26,Medium,7.15,4.82,0,0.05,Medium,10,6.96,5.11,3.93,10,1,8.23,Hard,23,99,78,74.58,8.86,79.1,B,Pass,Medium
STU_000065,15,Male,Public,Middle,Urban,80.88,3.29,78.69,72.1,Medium,4.95,2.99,0,0.48,High,6,7.32,3.48,2.46,10,1,0.65,Medium,5,85,56,64.63,10,65.71,C,Pass,Medium
STU_000066,18,Male,Private,Lower-Middle,Urban,76.47,3.14,91.99,75.87,High,5.09,3.42,0,4.48,Medium,3,5.07,4.88,0.76,10,1,3.85,Hard,15,95,55,100,8.86,57.71,D,Pass,Low
STU_000067,15,Female,Charter,Middle,Urban,54.31,2.12,,75.14,High,2.38,1.76,0,1.23,High,1,5.34,3.08,0.16,10,1,6.34,Hard,12,93,25,70.15,10,25.8,F,Fail,Low
STU_000068,17,Male,Public,Low,Urban,36.28,1.23,,60.65,Medium,1.13,0.61,1,0.88,High,4,8.43,5.87,4.47,10,1,0.32,Medium,26,91,42,65.67,10,48.17,F,Fail,Low
STU_000069,17,Male,Private,Upper-Middle,Rural,71.1,2.71,100,70.93,Low,4.65,2.45,0,2.58,Low,4,6.98,4.95,0.21,9,1,10.12,Hard,7,87,63,89.34,10,71.52,C,Pass,Medium
STU_000070,20,Male,Public,High,Rural,72.71,2.97,80.26,58.32,Medium,4.75,3.75,1,1.29,Medium,8,8.07,1.89,0.88,7,1,2.96,Hard,22,100,58,72.07,6.06,59.1,D,Pass,Low
STU_000071,17,Female,Public,Lower-Middle,Rural,57.56,2.29,84.93,70.88,Medium,3.16,1.73,0,4.43,Low,6,5.18,4.8,0.49,10,1,2.28,Medium,9,85,49,81.64,8.84,57.2,D,Pass,Low
STU_000072,20,Male,Public,Lower-Middle,Rural,71.74,2.87,,77.47,Medium,4.15,2.41,0,5.2,Low,4,8.32,7.11,0.22,10,1,0.08,Medium,2,85,56,100,9.21,68.52,C,Pass,Medium
STU_000073,17,Male,Private,Lower-Middle,Rural,68.75,2.8,98.63,81.03,High,4.18,3.35,0,1.15,Medium,4,5.54,6.16,7.83,10,0,1.32,Medium,10,90,34,80.48,10,40.32,F,Fail,Low
STU_000074,18,Male,Public,Middle,Suburban,79.72,2.89,76.23,62.2,High,3.02,2.66,1,2.88,Medium,6,6.24,6.07,0.66,10,1,0.79,Medium,6,90,45,64.45,8.76,50.63,D,Pass,Low
STU_000075,20,Male,Public,High,Suburban,61.28,2.55,87.97,80.52,Medium,2.69,2.22,0,1.12,Medium,4,8.42,6.41,6.23,10,0,11.41,Easy,29,88,51,94.86,10,58.17,D,Pass,Low
STU_000076,16,Female,Public,Lower-Middle,Rural,63.22,2.56,,51.65,Medium,3.82,3.33,1,0.84,Medium,6,6.99,1.83,0.46,10,1,4,Medium,17,86,51,81.66,10,61.03,D,Pass,Medium
STU_000077,19,Female,Public,Low,Urban,61.35,2.41,80.55,65.69,Medium,1.92,1.53,0,0.08,Medium,3,7.92,3.7,1.41,10,1,1.8,Hard,27,94,41,97.76,9.5,43.29,F,Fail,Low
STU_000078,14,Female,Private,Lower-Middle,Suburban,81.76,3.26,89.41,68.92,Medium,1.47,0.87,0,0.19,Low,2,5.68,6.83,2.48,10,1,4.36,Easy,9,92,66,60.88,9.84,71.79,C,Pass,Medium
STU_000079,17,Male,Public,Middle,Urban,56.96,1.93,71.44,48.62,Medium,0.96,0.6,0,5.79,Medium,3,6.42,4.43,0.75,10,1,6.17,Hard,2,89,9,75.76,8.89,9.6,F,Fail,Low
STU_000080,15,Female,Public,Upper-Middle,Urban,84.83,3.39,96.31,63.54,Low,2.84,1.84,0,4.68,Medium,3,6.65,3.23,0.87,10,1,1.27,Easy,28,98,95,81.57,10,95.75,A,Pass,High
STU_000081,17,Female,Private,Lower-Middle,Urban,65.76,2.66,81.64,73.45,Medium,0.5,0.31,0,0.28,Medium,5,5.71,5.64,1.28,10,1,6.99,Easy,9,94,59,85.73,9.98,62.67,D,Pass,Medium
STU_000082,15,Male,Private,Low,Suburban,73.37,3.08,82.8,74.41,Medium,2.18,1.16,0,0.51,Low,9,6.54,6.46,0.54,10,1,2.86,Easy,22,99,79,60.1,8.71,77.87,B,Pass,Medium
STU_000083,19,Male,Private,Low,Urban,64.58,2.59,87.39,84.61,Low,5,2.99,0,1.94,Medium,5,7.51,7.73,1,7,1,0.05,Easy,18,92,92,86.85,7.16,98.85,A,Pass,High
STU_000084,19,Male,Public,Upper-Middle,Urban,77.76,3.04,,63.1,Medium,4.57,2.74,0,1.35,Medium,8,6.53,3.88,10.5,10,1,2.89,Medium,6,98,83,68.9,10,85.75,A,Pass,High
STU_000085,19,Male,Public,Middle,Rural,70.11,2.87,78.61,87.03,Medium,5.46,2.85,1,2.71,Low,7,7.76,3.2,3.38,10,1,3.57,Medium,6,94,74,59.32,10,80.23,B,Pass,High
STU_000086,15,Male,Public,Low,Suburban,43.91,1.73,,70.33,Low,5.5,3.96,0,0.94,Medium,7,5.3,6.77,0.52,10,1,1.41,Easy,4,89,74,77.25,8.76,81.98,B,Pass,High
STU_000087,17,Male,Public,Middle,Urban,61.52,2.68,79.75,84.82,Medium,4.76,3.73,1,0.03,Low,11,5.8,6.94,2.85,10,1,0.07,Hard,19,91,42,,9.4,44.07,F,Fail,Low
STU_000088,19,Female,Public,Middle,Urban,73.53,2.6,90.15,64.88,Low,0.66,0.42,1,0.75,Medium,4,5.64,3.18,0.39,10,1,3.36,Easy,30,86,32,72.54,9.32,36.23,F,Fail,Low
STU_000089,18,Male,Public,High,Urban,64.67,2.65,84.47,89.24,Low,3.34,2.67,1,1.97,Low,6,6.26,3.86,1.59,10,1,0.49,Medium,16,90,66,81.66,8.37,71.89,C,Pass,Medium
STU_000090,20,Female,Charter,Low,Suburban,60.47,2.52,94.27,72.18,Medium,1.33,1.07,0,2.8,High,3,7.39,4.22,5.38,10,1,0.16,Hard,7,88,40,83.85,10,42.87,F,Fail,Low
STU_000091,15,Male,Public,Middle,Urban,67.12,2.68,,62.45,Low,4.06,2.69,0,0.74,Medium,6,5.75,7.84,0.27,8,1,1.07,Medium,2,92,66,88.97,9.16,70.13,C,Pass,Medium
STU_000092,15,Male,Private,Lower-Middle,Suburban,87.18,3.65,80.18,65.41,Low,3.43,2.88,0,0.67,Medium,6,6.94,3.16,1.96,10,1,4.38,Hard,1,91,41,46.78,10,47.16,F,Fail,Low
STU_000093,17,Male,Public,Middle,Suburban,57.39,2.24,85.5,46.32,Medium,1.07,0.65,0,2.71,Medium,1,4.57,4.75,1.26,10,1,0.05,Easy,8,92,44,90.77,10,46.73,F,Fail,Low
STU_000094,15,Male,Public,Low,Rural,83.6,3.2,92.37,68.52,Low,3.9,2.02,0,1.25,High,11,8.78,5.63,0.9,10,1,1.29,Easy,20,91,83,91.41,10,88.64,A,Pass,High
STU_000095,15,Female,Public,Lower-Middle,Urban,71.06,2.8,77.7,69.21,Medium,5.55,3.44,0,0.76,High,13,7.31,3.83,4.45,10,1,4.01,Medium,24,86,78,66.24,8.8,90.9,A,Pass,High
STU_000096,19,Female,Private,Upper-Middle,Suburban,85.12,3.39,75.22,60.5,High,2.22,1.85,0,0.59,Low,7,7.56,6.72,0.32,10,1,2.95,Medium,19,86,61,79.38,8.72,70.11,C,Pass,Medium
STU_000097,17,Male,Charter,Middle,Suburban,57.47,2.3,74.77,69.42,Medium,0.57,0.35,0,3.03,Medium,4,6.66,4.05,3.55,8,1,2.34,Easy,13,85,45,78.39,7.03,51.94,D,Pass,Low
STU_000098,19,Female,Private,Lower-Middle,Rural,67.92,2.9,90.32,83.11,Medium,3.44,2.47,1,1.25,Low,4,5.76,5.19,1.22,9,0,2.93,Easy,17,100,83,85.51,10,82.77,B,Pass,High
STU_000099,20,Male,Public,Upper-Middle,Rural,74.46,2.97,,63.4,Medium,1.73,1.19,0,1.66,Medium,7,6.02,4.44,1.53,8,1,0.32,Hard,6,99,53,81.41,7.07,53.84,D,Pass,Low
STU_000100,20,Male,Public,Lower-Middle,Suburban,61.38,2.5,89.6,68.35,Low,1.66,1.43,0,4.11,High,4,6.12,3.5,0.29,8,1,0.82,Medium,19,92,40,74.61,8.36,45.58,F,Fail,Low
STU_000101,19,Male,Charter,High,Suburban,59.03,2.24,82.08,60.79,High,2.94,1.5,0,7.35,Medium,6,6.08,5.94,0.99,10,1,0.97,Medium,15,95,62,74.61,6.95,65.95,C,Pass,Medium
STU_000102,20,Female,Public,Middle,Suburban,67.59,2.65,100,73.98,High,3.67,2.79,1,6.36,Low,3,4.86,7.34,1.85,10,1,0.45,Medium,3,99,58,56.56,10,56.56,D,Pass,Low
STU_000103,17,Female,Public,Middle,Rural,64.5,2.48,,92.13,High,4.74,4.02,0,4.67,Medium,10,7.88,3.76,2.95,10,1,0.45,Medium,14,87,87,49.25,10,100,A,Pass,High
STU_000104,14,Female,Charter,Middle,Suburban,54.8,2.46,84.53,65.17,Medium,3.26,2.44,0,0.73,Medium,7,4.84,6.09,4,10,1,7.27,Easy,14,86,59,91.03,10,70.16,C,Pass,Medium
STU_000105,19,Female,Public,Middle,Suburban,82.35,3.35,97.37,72.76,Medium,4.13,3.71,1,1.16,High,6,5.82,3.85,4.03,10,1,4.18,Hard,14,88,52,75.87,9.01,59.11,D,Pass,Low
STU_000106,18,Female,Public,High,Suburban,91.51,3.42,95.88,99.03,Medium,4.54,2.81,0,2.79,High,7,7.27,2.57,2.04,9,0,12.04,Easy,19,95,93,68.34,6.36,97.48,A,Pass,High
STU_000107,18,Female,Public,Middle,Rural,84.14,3.38,,70.07,Medium,6.08,3.4,1,0.77,High,5,7.2,7.12,5.78,10,1,0.18,Medium,6,100,77,94.36,10,79.05,B,Pass,Medium
STU_000108,15,Female,Private,Lower-Middle,Rural,58.32,,,73.46,Medium,4.4,2.91,0,5.15,Medium,4,6.53,4.23,5.89,7,1,0.83,Easy,30,93,59,98.94,7.55,62.74,D,Pass,Medium
STU_000109,20,Female,Charter,Lower-Middle,Suburban,71.95,3.08,90.56,83.81,High,2.67,2.08,0,2.62,High,6,7.53,3.57,0.09,9,1,1.01,Easy,7,97,82,100,7.44,84.64,B,Pass,High
STU_000110,18,Female,Charter,Lower-Middle,Rural,39.77,1.34,80.47,61.96,Medium,1.53,1.35,1,2.73,Medium,8,8.58,5.56,0.68,10,1,0.12,Medium,5,94,42,71.63,10,46.33,F,Fail,Low
STU_000111,15,Female,Public,Upper-Middle,Suburban,54.07,2.4,81.9,59.07,Low,2.43,1.87,0,0.05,Medium,4,5.31,5.72,2.63,10,0,3.35,Hard,8,92,27,,10,28.93,F,Fail,Low
STU_000112,14,Male,Public,Middle,Rural,57.62,2.34,81.56,69.74,Medium,1.92,1.46,0,3.82,Medium,3,6.79,3.48,1.36,10,1,14.98,Easy,16,94,39,,10,41.15,F,Fail,Low
STU_000113,17,Male,Public,Middle,Urban,51.47,1.99,89.1,83.1,Medium,1.83,1.56,0,0.41,Medium,1,5.82,5.76,1.1,10,1,0.37,Medium,10,94,29,82.08,9.42,30.13,F,Fail,Low
STU_000114,17,Female,Public,Low,Suburban,82.62,3.35,93.27,68.58,Low,1.79,0.94,0,0.14,Medium,8,6.63,3.8,5.09,10,1,3.75,Medium,19,96,56,73.61,10,56.77,D,Pass,Low
STU_000115,17,Male,Public,Upper-Middle,Urban,72.64,2.66,85.73,86.21,Medium,3.49,2.69,0,5.14,Medium,8,7.17,5.57,0.37,10,1,3.4,Hard,18,93,65,89.66,10,68.76,C,Pass,Medium
STU_000116,18,Female,Public,Upper-Middle,Rural,73.72,2.83,91.16,54.49,Medium,1.84,1.61,0,2.86,Medium,9,7.68,8.05,1.85,10,1,6.68,Hard,30,92,69,75.98,10,74.69,C,Pass,Medium
STU_000117,14,Male,Public,Middle,Suburban,70.64,2.72,75.3,56.33,Low,1.45,1.07,1,0.81,Medium,4,6.18,5.8,0.42,10,1,3.48,Medium,20,93,47,90.25,10,52.13,D,Pass,Low
STU_000118,18,Female,Public,Lower-Middle,Urban,74.5,3.06,81.69,70.53,Low,0.86,0.56,0,2.12,Medium,2,6.13,1.47,0.06,10,1,1.68,Hard,3,98,40,71.49,9.41,39.88,F,Fail,Low
STU_000119,20,Female,Public,High,Urban,71.96,2.98,89.38,73.91,Low,1.72,1.36,0,3.99,High,9,5.22,7,2.92,9,1,7.06,Medium,4,93,39,61.79,10,42.72,F,Fail,Low
STU_000120,18,Male,Public,Middle,Suburban,57.45,2.25,84.17,83.13,Medium,2.86,1.44,0,1.76,Low,3,5.72,7.24,2.58,10,1,3,Medium,26,98,52,70.46,10,51.22,D,Pass,Low
STU_000121,14,Female,Public,Low,Urban,60.37,2.47,77.54,92.88,Low,7.05,4.5,0,4.25,Medium,10,6,4.4,0.59,10,1,0.95,Easy,5,98,71,84.87,10,73.6,C,Pass,Medium
